Year,Average Number of Layers ('000),Eggs per 100 Layers (number),Total Production ('000 dozens),Total Value ($'000)
1998,8254,28356,195042,227933
1999,8806,27857,204424,238674
2000,8897,27968,207361,251165
2001,9096,28084,212876,265480
2002,9418,27596,216585,268544
2003,9475,27477,216957,267939
2004,9619,27268,218577,287404
2005,9754,28159,228889,264896
2006,9492,28646,226590,273582
2007,9415,28983,227392,290095
2008,9519,29485,233886,317945
2009,9715,29485,234463,338326
2010,9793,29321,239283,337386
2011,9824,29567,242059,370731
2012,9886,29979,246973,401201
2013,10040,30083,251693,424121
2014,10118,30218,254787,419153
2015,10487,30281,264634,445801
2016,11109,30345,280920,473324
2017,11534,30227,290529,491060
2018,11715,30260,295412,513655
2019,11999,30275,302724,536208
2020,12261,30368,310284,559548
2021,12531,30302,316431,633828
2022,12956,30184,325890,732433
2023,13177,31002,340422,806592
